Review ID,Product ID,User ID,Review Text,Sentiment,Timestamp
4,2,3,The design concept is really good,,2024-02-25 22:37:22
15,3,5,"It's really bad product, no proper software update and service center",,2024-04-05 20:32:16
7,4,5,Premium good looking mobile,,2024-04-03 06:04:17
10,4,1,Software update is really bad,,2024-04-05 06:53:24
8,6,1,it's really good product,,2024-04-05 06:28:40
17,6,5,Wonderful product and battery backup is really good.,,2024-04-05 20:58:29
12,8,1,Battery backup is good,,2024-04-05 19:29:27
18,8,5,Wonderful product and battery backup is really good.,,2024-04-05 21:10:02
9,10,1,it's really good product,,2024-04-05 06:32:20
16,10,5,Battery backup is good,,2024-04-05 20:35:34
19,11,8,not at all good,,2024-04-23 21:18:17
6,9,1,One of the best mobile and it has a very good camera and display.battery backup is really good,,2024-03-01 20:39:32
1,5,1,Premium design ❤️,,2024-02-25 10:05:57
3,5,3,"As a long-time iPhone user, I eagerly anticipated getting my hands on the latest iteration of Apple's iconic smartphone: the iPhone 15. Now, after using it extensively in my daily life, I can confidently say that it has exceeded my expectations in more ways than one. Here's my honest review based on my real-life experiences with the device.

Design and Build Quality:
From the moment I unboxed the iPhone 15, I was struck by its premium design and impeccable build quality. The sleek glass back, sturdy metal frame, and edge-to-edge display all contribute to its aesthetic appeal and ergonomic feel. Despite its large screen size, the device remains surprisingly comfortable to hold and use one-handed, thanks to its slim profile and balanced weight distribution.",,2024-02-25 18:19:15
5,5,5,it's really good product,,2024-02-26 05:49:58
14,13,5,bad not working properly,,2024-04-05 20:18:04
13,14,1,Bad product,,2024-04-05 19:45:34
11,12,1,Wonderful product and battery backup is really good.,,2024-04-05 19:25:46
